"","V1","ac","district","date","address","offense","year","num.month","num.week"
"822","A THEFT 3D FROM MOTOR VEHICLE 900 E 3RD AVE 7/1/2019 P5","A","P5",2019-07-01,"900 E 3RD AVE","THEFT 3D FROM MOTOR VEHICLE","2019","07","26"
"823","C THEFT 3D FROM MOTOR VEHICLE 800 E 8TH AVE 7/2/2019 P5","C","P5",2019-07-02,"800 E 8TH AVE","THEFT 3D FROM MOTOR VEHICLE","2019","07","26"
"824","A THEFT 3D FROM MOTOR VEHICLE 2100 E 7TH AVE 7/3/2019 P5","A","P5",2019-07-03,"2100 E 7TH AVE","THEFT 3D FROM MOTOR VEHICLE","2019","07","26"
"825","C THEFT 3D SHOPLIFTING 3000 E SPRAGUE AVE 7/5/2019 P5","C","P5",2019-07-05,"3000 E SPRAGUE AVE","THEFT 3D SHOPLIFTING","2019","07","26"
"826","C THEFT 3D SHOPLIFTING 400 S THOR ST 7/5/2019 P5","C","P5",2019-07-05,"400 S THOR ST","THEFT 3D SHOPLIFTING","2019","07","26"
"827","C THEFT OF MOTOR VEHICLE 800 S COWLEY ST 6/30/2019 P5","C","P5",2019-06-30,"800 S COWLEY ST","THEFT OF MOTOR VEHICLE","2019","06","26"
"828","C THEFT OF MOTOR VEHICLE 0 E 6TH AVE 6/30/2019 P6","C","P6",2019-06-30,"0 E 6TH AVE","THEFT OF MOTOR VEHICLE","2019","06","26"
"829","C THEFT OF MOTOR VEHICLE 200 E 5TH AVE 6/30/2019 P5","C","P5",2019-06-30,"200 E 5TH AVE","THEFT OF MOTOR VEHICLE","2019","06","26"
"830","C THEFT OF MOTOR VEHICLE 4100 E SPRAGUE AVE 7/2/2019 P6","C","P6",2019-07-02,"4100 E SPRAGUE AVE","THEFT OF MOTOR VEHICLE","2019","07","26"
"831","C THEFT OF MOTOR VEHICLE 400 S FREYA ST 7/3/2019 P6","C","P6",2019-07-03,"400 S FREYA ST","THEFT OF MOTOR VEHICLE","2019","07","26"
"832",NA,NA,NA,NA,NA,NA,NA,NA,NA
"833","C BURGLARY 1D FROM RESIDENCE 3000 E SOUTH RIVERTON AVE 7/4/2019 P6","C","P6",2019-07-04,"3000 E SOUTH RIVERTON","BURGLARY 1D FROM RESIDENCE","2019","07","26"
"834","C ROBBERY 1D PERSON 1900 E MARSHALL AVE 6/30/2019 P6","C","P6",2019-06-30,"1900 E MARSHALL AVE","ROBBERY 1D PERSON","2019","06","26"
"835","C THEFT 3D ALL OTHER 3400 E TRENT AVE 7/6/2019 P5","C","P5",2019-07-06,"3400 E TRENT AVE","THEFT 3D ALL OTHER","2019","07","26"
"836","C THEFT 3D ALL OTHER 1300 N REGAL ST 7/6/2019 P5","C","P5",2019-07-06,"1300 N REGAL ST","THEFT 3D ALL OTHER","2019","07","26"
"837","C THEFT 3D CITY SHOPLIFTING 1900 E MISSION AVE 7/3/2019 P6","C","P6",2019-07-03,"1900 E MISSION AVE","THEFT 3D CITY SHOPLIFTING","2019","07","26"
"838","C THEFT 3D FROM MOTOR VEHICLE 2300 E SINTO AVE 7/3/2019 P5","C","P5",2019-07-03,"2300 E SINTO AVE","THEFT 3D FROM MOTOR VEHICLE","2019","07","26"
"839","C THEFT OF MOTOR VEHICLE 2400 E DESMET AVE 7/3/2019 P4","C","P4",2019-07-03,"2400 E DESMET AVE","THEFT OF MOTOR VEHICLE","2019","07","26"
"840","C RAPE 3D 7/1/2019 P6","C","P6",2019-07-01,NA,"RAPE 3D","2019","07","26"
"841","C RESIDENTIAL BURGLARY 1900 E 17TH AVE 6/30/2019 P6","C","P6",2019-06-30,"1900 E 17TH AVE","RESIDENTIAL BURGLARY","2019","06","26"
"842","C RESIDENTIAL BURGLARY 4000 E 15TH AVE 7/1/2019 P6","C","P6",2019-07-01,"4000 E 15TH AVE","RESIDENTIAL BURGLARY","2019","07","26"
"843","C RESIDENTIAL BURGLARY 3300 E 24TH AVE 7/4/2019 P6","C","P6",2019-07-04,"3300 E 24TH AVE","RESIDENTIAL BURGLARY","2019","07","26"
"844","C THEFT 2D ALL OTHER 3000 E 33RD AVE 7/5/2019 P6","C","P6",2019-07-05,"3000 E 33RD AVE","THEFT 2D ALL OTHER","2019","07","26"
"845","C THEFT 2D FROM MOTOR VEHICLE 3300 E 21ST AVE 7/2/2019 P6","C","P6",2019-07-02,"3300 E 21ST AVE","THEFT 2D FROM MOTOR VEHICLE","2019","07","26"
"846","C THEFT 3D ALL OTHER 3400 S REGAL ST 6/30/2019 P6","C","P6",2019-06-30,"3400 S REGAL ST","THEFT 3D ALL OTHER","2019","06","26"
"847","C THEFT 3D ALL OTHER 3700 E 17TH AVE 7/5/2019 P6","C","P6",2019-07-05,"3700 E 17TH AVE","THEFT 3D ALL OTHER","2019","07","26"
"848","C THEFT 3D CITY SHOPLIFTING 2600 E 29TH AVE 7/5/2019 P6","C","P6",2019-07-05,"2600 E 29TH AVE","THEFT 3D CITY SHOPLIFTING","2019","07","26"
"849","C THEFT 3D FROM BUILDING 3400 E 21ST AVE 7/3/2019 P6","C","P6",2019-07-03,"3400 E 21ST AVE","THEFT 3D FROM BUILDING","2019","07","26"
"850",NA,NA,NA,NA,NA,NA,NA,NA,NA
"851","C BURGLARY 2D GARAGE 5000 S REGAL ST 7/6/2019 P6","C","P6",2019-07-06,"5000 S REGAL ST","BURGLARY 2D GARAGE","2019","07","26"
"852","C THEFT 2D FROM MOTOR VEHICLE 3300 E 55TH AVE 7/2/2019 P6","C","P6",2019-07-02,"3300 E 55TH AVE","THEFT 2D FROM MOTOR VEHICLE","2019","07","26"
"853","C THEFT 3D FROM BUILDING 4200 S BELLEGROVE LN 7/5/2019 P6","C","P6",2019-07-05,"4200 S BELLEGROVE LN","THEFT 3D FROM BUILDING","2019","07","26"
"854","C THEFT 3D SHOPLIFTING 4900 S REGAL ST 6/30/2019 P6","C","P6",2019-06-30,"4900 S REGAL ST","THEFT 3D SHOPLIFTING","2019","06","26"
"855","C HARASSMENT FELONY WEAPON INVOLVED 1800 W RIVERSIDE AVE 7/2/2019 P7","C","P7",2019-07-02,"1800 W RIVERSIDE AVE","HARASSMENT FELONY WEAPON INVOLVED","2019","07","26"
"856","C THEFT 2D FROM BUILDING 2100 W PACIFIC AVE 7/1/2019 P7","C","P7",2019-07-01,"2100 W PACIFIC AVE","THEFT 2D FROM BUILDING","2019","07","26"
"857","C THEFT 2D FROM BUILDING 0 S ELM ST 7/3/2019 P7","C","P7",2019-07-03,"0 S ELM ST","THEFT 2D FROM BUILDING","2019","07","26"
"858","C THEFT 2D FROM BUILDING 2000 W 4TH AVE 7/4/2019 P7","C","P7",2019-07-04,"2000 W 4TH AVE","THEFT 2D FROM BUILDING","2019","07","26"
"859","A THEFT 3D FROM MOTOR VEHICLE 0 S OAK ST 7/4/2019 P7","A","P7",2019-07-04,"0 S OAK ST","THEFT 3D FROM MOTOR VEHICLE","2019","07","26"
"860","C THEFT OF MOTOR VEHICLE W 2ND AVE / S COEUR D ALENE ST 7/5/2019 P7","C","P7",2019-07-05,"W 2ND AVE / S COEUR D","THEFT OF MOTOR VEHICLE","2019","07","26"
"861","C THEFT OF MOTOR VEHICLE 1800 W SUNSET BLVD 7/5/2019 P7","C","P7",2019-07-05,"1800 W SUNSET BLVD","THEFT OF MOTOR VEHICLE","2019","07","26"
"862",NA,NA,NA,NA,NA,NA,NA,NA,NA
"863","A ROBBERY 1D PERSON 600 S DIVISION ST 7/3/2019 P5","A","P5",2019-07-03,"600 S DIVISION ST","ROBBERY 1D PERSON","2019","07","26"
"864","C THEFT 2D FROM BUILDING 100 W 8TH AVE 7/1/2019 P7","C","P7",2019-07-01,"100 W 8TH AVE","THEFT 2D FROM BUILDING","2019","07","26"
"865","C THEFT 2D FROM MOTOR VEHICLE 0 W 14TH AVE 7/5/2019 P7","C","P7",2019-07-05,"0 W 14TH AVE","THEFT 2D FROM MOTOR VEHICLE","2019","07","26"
"866","C THEFT 3D FROM MOTOR VEHICLE 100 W 16TH AVE 7/1/2019 P7","C","P7",2019-07-01,"100 W 16TH AVE","THEFT 3D FROM MOTOR VEHICLE","2019","07","26"
"867","C THEFT 3D FROM MOTOR VEHICLE 100 W 8TH AVE 7/1/2019 P7","C","P7",2019-07-01,"100 W 8TH AVE","THEFT 3D FROM MOTOR VEHICLE","2019","07","26"
"868","C THEFT 3D FROM MOTOR VEHICLE 900 W 16TH AVE 7/4/2019 P7","C","P7",2019-07-04,"900 W 16TH AVE","THEFT 3D FROM MOTOR VEHICLE","2019","07","26"
"869","C THEFT 3D FROM MOTOR VEHICLE 0 E ROCKWOOD BLVD 7/5/2019 P7","C","P7",2019-07-05,"0 E ROCKWOOD BLVD","THEFT 3D FROM MOTOR VEHICLE","2019","07","26"
"870","A THEFT 3D FROM MOTOR VEHICLE 1500 S TACOMA ST 7/5/2019 P7","A","P7",2019-07-05,"1500 S TACOMA ST","THEFT 3D FROM MOTOR VEHICLE","2019","07","26"
"871","C THEFT 3D FROM MOTOR VEHICLE 300 W 8TH AVE 7/6/2019 P7","C","P7",2019-07-06,"300 W 8TH AVE","THEFT 3D FROM MOTOR VEHICLE","2019","07","26"
"872",NA,NA,NA,NA,NA,NA,NA,NA,NA
"873","C BURGLARY 2D GARAGE 3000 S HIGH DR 7/5/2019 P7","C","P7",2019-07-05,"3000 S HIGH DR","BURGLARY 2D GARAGE","2019","07","26"
"874",NA,NA,NA,NA,NA,NA,NA,NA,NA
"875","C THEFT OF MOTOR VEHICLE 2200 S CANYON WOODS LN 7/3/2019 P7","C","P7",2019-07-03,"2200 S CANYON WOODS","THEFT OF MOTOR VEHICLE","2019","07","26"
"876",NA,NA,NA,NA,NA,NA,NA,NA,NA
"877","A BURGLARY 1D FROM RESIDENCE 2000 W 23RD AVE 6/30/2019 P7","A","P7",2019-06-30,"2000 W 23RD AVE","BURGLARY 1D FROM RESIDENCE","2019","06","26"
"878","C BURGLARY 2D GARAGE 2300 W 16TH AVE 7/5/2019 P7","C","P7",2019-07-05,"2300 W 16TH AVE","BURGLARY 2D GARAGE","2019","07","26"
