X,Y,OBJECTID,Offense,OffGen,BeginDate,EndDate,Location,Day
-117.458444662725128,47.686222401361,12592,VEH-PROWL,Vehicle Prowling,2015-07-23T23:00:00.000Z,2015-07-24T07:30:00.000Z,3200 Block Of W Euclid Av,Friday
-117.458444662725128,47.686222401361,12593,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-23T23:00:00.000Z,2015-07-24T07:30:00.000Z,3200 Block Of W Euclid Av,Friday
-117.369642903596159,47.645271104696256,12594,THEFT-OPEN AREA,Theft,2015-07-20T00:00:00.000Z,2015-07-20T07:00:00.000Z,2800 Block Of E 11Th Av,Tuesday
-117.368066173802163,47.688041895405867,12595,BURGLARY-RESIDNTL,Burglary,2015-07-24T07:03:00.000Z,2015-07-24T07:03:00.000Z,2900 Block Of E Bridgeport Av,Saturday
-117.459383038187752,47.690794464531798,12596,VEH-THEFT AUTO PARTS,Vehicle Theft,2015-07-23T19:30:00.000Z,2015-07-24T07:30:00.000Z,3300 Block Of W Gordon Av,Friday
-117.463856353282551,47.691755601000203,12597,BURGLARY-GARAGE,Burglary,2015-07-23T23:00:00.000Z,2015-07-24T07:00:00.000Z,3600 Block Of W Kiernan Av,Friday
-117.463856353282551,47.691755601000203,12598,VEH-PROWL,Vehicle Prowling,2015-07-23T23:00:00.000Z,2015-07-24T07:00:00.000Z,3600 Block Of W Kiernan Av,Friday
-117.463856353282551,47.691755601000203,12599,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-23T23:00:00.000Z,2015-07-24T07:00:00.000Z,3600 Block Of W Kiernan Av,Friday
-117.446870788820803,47.685286124996836,12600,VEH-PROWL,Vehicle Prowling,2015-07-24T00:00:00.000Z,2015-07-24T06:00:00.000Z,2400 Block Of W Fairview Av,Saturday
-117.446870788820803,47.685286124996836,12601,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-24T00:00:00.000Z,2015-07-24T06:00:00.000Z,2400 Block Of W Fairview Av,Saturday
-117.4727755902193,47.698127449647949,12602,VEH-PROWL,Vehicle Prowling,2015-07-23T21:00:00.000Z,2015-07-24T09:00:00.000Z,4400 Block Of N Bemis St,Friday
-117.446558589130703,47.686209849136461,12603,VEH-PROWL,Vehicle Prowling,2015-07-23T22:30:00.000Z,2015-07-24T06:30:00.000Z,2400 Block Of W Euclid Av,Friday
-117.446558589130703,47.686209849136461,12604,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-23T22:30:00.000Z,2015-07-24T06:30:00.000Z,2400 Block Of W Euclid Av,Friday
-117.370907173947231,47.687187016452619,12605,THEFT-OPEN AREA,Theft,2015-07-23T23:00:00.000Z,2015-07-24T23:00:00.000Z,3300 Block Of N Lacey St,Friday
-117.456792123974793,47.685262373006772,12606,VEH-PROWL,Vehicle Prowling,2015-07-23T22:30:00.000Z,2015-07-24T08:20:00.000Z,3100 Block Of W Fairview Av,Friday
-117.4503413215498,47.709927295746404,12607,THEFT-OPEN AREA,Theft,2015-07-24T00:00:00.000Z,2015-07-24T06:00:00.000Z,5700 Block Of N Lindeke St,Saturday
-117.333165412728718,47.67599464201151,12608,THEFT-FROM BUILDING,Theft,2015-07-18T06:00:00.000Z,2015-07-18T15:40:00.000Z,5200 Block Of E Union Av,Sunday
-117.365297264245115,47.693597088282488,12609,MALICIOUS MISCHIEF,Malicious Mischief,2015-07-24T10:15:00.000Z,2015-07-24T10:15:00.000Z,3900 Block Of N Market St,Saturday
-117.437023780316878,47.678579818100786,12610,BURGLARY-COMMERCIAL,Burglary,2015-07-24T08:08:00.000Z,2015-07-24T08:08:00.000Z,2300 Block Of N Ash St,Saturday
-117.437023780316878,47.678579818100786,12611,THEFT-FROM BUILDING,Theft,2015-07-24T08:08:00.000Z,2015-07-24T08:08:00.000Z,2300 Block Of N Ash St,Saturday
-117.434151313073087,47.675843253597371,12612,VEH-THEFT,Vehicle Theft,2015-07-24T09:44:00.000Z,2015-07-24T09:44:00.000Z,1500 Block Of W Shannon Av,Saturday
