ac,offense,address,date,district
C, THEFT 3D FROM MOTOR VEHICLE                        , 3300 E FAIRVIEW AVE     , 4/8/2019  , P4,
A, THEFT 3D FROM MOTOR VEHICLE                        , 2800 E UPRIVER DR       , 4/8/2019  , P4,
C, THEFT 3D FROM MOTOR VEHICLE                        , 2800 E UPRIVER DR       , 4/8/2019  , P4,
C, THEFT 3D FROM MOTOR VEHICLE                        , 3700 E GRACE AVE        , 4/10/2019 , P2,
C, THEFT 3D FROM MOTOR VEHICLE                        , 2500 N REBECCA ST       , 4/10/2019 , P4,
A, THEFT 3D FROM MOTOR VEHICLE                        , 4200 E ERMINA AVE       , 4/10/2019 , P4,
C, THEFT 3D FROM MOTOR VEHICLE                        , 3300 E MARIETTA AVE     , 4/13/2019 , P4,
C, VEHICULAR ASSAULT                                  , 3000 E JACKSON AVE      , 4/10/2019 , P4,
C, ASSAULT 2D                                         , 500 S HAVEN ST          , 4/7/2019  , P6,
C, ASSAULT 2D                                         , 3400 E SPRAGUE AVE      , 4/8/2019  , P6,
C, ASSAULT 2D                                         , 2000 E 5TH AVE          , 4/13/2019 , P6,
C, BURGLARY 2D COMMERCIAL                             , 600 E SPRAGUE AVE       , 4/8/2019  , P8,
A, BURGLARY 2D FENCED AREA                            , 1700 E SPRAGUE AVE      , 4/7/2019  , P6,
C, BURGLARY 2D GARAGE                                 , 2500 E 1ST AVE          , 4/11/2019 , P5,
C, RAPE 3D                                            , NA                      , 4/7/2019  , P6,
C, ROBBERY 1D PERSON                                  , 3600 E SPRAGUE AVE      , 4/12/2019 , P6,
C, THEFT 3D ALL OTHER                                 , 100 E 4TH AVE           , 4/8/2019  , P5,
C, THEFT 3D ALL OTHER                                 , 1500 E 1ST AVE          , 4/9/2019  , P5,
C, THEFT 3D ALL OTHER                                 , 100 S DIVISION ST       , 4/10/2019 , P8,
C, THEFT 3D ALL OTHER                                 , 700 S ARTHUR ST         , 4/11/2019 , P5,
C, THEFT 3D ALL OTHER                                 , 2200 E 1ST AVE          , 4/12/2019 , P5,
C, THEFT 3D ALL OTHER                                 , 900 E 9TH AVE           , 4/12/2019 , P5,
C, THEFT 3D FROM BUILDING                             , 100 S DIVISION ST       , 4/9/2019  , P5,
C, THEFT 3D FROM MOTOR VEHICLE                        , 500 S ARTHUR ST         , 4/7/2019  , P5,
C, THEFT 3D FROM MOTOR VEHICLE                        , 700 S ARTHUR ST         , 4/11/2019 , P5,
C, THEFT 3D FROM MOTOR VEHICLE                        , 700 S ARTHUR ST         , 4/11/2019 , P5,
A, THEFT 3D FROM MOTOR VEHICLE                        , 700 S ARTHUR ST         , 4/11/2019 , P5,
C, THEFT 3D FROM MOTOR VEHICLE                        , 700 S ARTHUR ST         , 4/11/2019 , P5,
C, THEFT 3D FROM MOTOR VEHICLE                        , 700 S ARTHUR ST         , 4/11/2019 , P5,
C, THEFT 3D FROM MOTOR VEHICLE                        , 700 S ARTHUR ST         , 4/11/2019 , P5,
A, THEFT 3D FROM MOTOR VEHICLE                        , 700 S ARTHUR ST         , 4/11/2019 , P5,
A, THEFT 3D FROM MOTOR VEHICLE                        , 700 S ARTHUR ST         , 4/11/2019 , P5,
C, THEFT 3D FROM MOTOR VEHICLE                        , 1000 E 8TH AVE          , 4/12/2019 , P6,
C, THEFT 3D SHOPLIFTING                               , 200 E 3RD AVE           , 4/7/2019  , P5,
C, THEFT 3D SHOPLIFTING                               , 1500 E SPRAGUE AVE      , 4/10/2019 , P5,
C, THEFT 3D SHOPLIFTING                               , 400 S THOR ST           , 4/11/2019 , P5,
A, BURGLARY 2D COMMERCIAL                             , 1800 N GREENE ST        , 4/13/2019 , P6,
C, MAIL THEFT                                         , 1000 N CRESTLINE ST     , 4/11/2019 , P5,
