C, THEFT 3D ALL OTHER, 6600 N LEE ST, 1/10/2019, P2
C, THEFT 3D FROM BUILDING, 2300 E SANSON AVE, 1/11/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 3400 E GLASS AVE, 1/10/2019, P4
A, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 4800 N MARKET ST, 1/8/2019, P2
C, BURGLARY 2D GARAGE, 900 E NORA AVE, 1/11/2019, P4
C, BURGLARY-RESIDENTIAL, 900 E SHARP AVE, 1/6/2019, P2
C, BURGLARY-RESIDENTIAL, 1300 E MISSION AVE, 1/12/2019, P4
C, THEFT 3D SHOPLIFTING, 900 E MISSION AVE, 1/9/2019, P4
C, THEFT 2D FROM MOTOR VEHICLE, 500 E BOONE AVE, 1/10/2019, P4
C, THEFT 3D ALL OTHER, 900 E ERMINA AVE, 1/6/2019, P4
C, THEFT 3D ALL OTHER, 0 E MISSION AVE, 1/9/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 1500 E ILLINOIS AVE, 1/7/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 1700 N MORTON ST, 1/10/2019, P4
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 1500 E ILLINOIS AVE, 1/7/2019, P4
C, THEFT-CITY (Shoplifting), 2400 N DIVISION ST, 1/8/2019, P4
C, THEFT-CITY (Shoplifting), 200 E NORTH FOOTHILLS DR, 1/9/2019, P4
C, THEFT-CITY (Shoplifting), 2400 N DIVISION ST, 1/10/2019, P4
C, THEFT-CITY (Shoplifting), 2400 N DIVISION ST, 1/10/2019, P4
C, THEFT-CITY (Shoplifting), 200 E NORTH FOOTHILLS DR, 1/10/2019, P4
C, THEFT-CITY (Shoplifting), 2400 N DIVISION ST, 1/11/2019, P4
C, THEFT-CITY (Shoplifting), 200 E NORTH FOOTHILLS DR, 1/11/2019, P2
C, MAIL THEFT, 3600 E FREDERICK AVE, 1/11/2019, P4
C, THEFT 2D FROM MOTOR VEHICLE, 4200 E MONTGOMERY AVE, 1/11/2019, P4
C, THEFT 2D FROM MOTOR VEHICLE, 2300 N SYCAMORE ST, 1/11/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 3300 E CARLISLE AVE, 1/6/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 3500 E GRACE AVE, 1/7/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 2300 N SYCAMORE ST, 1/11/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 3800 E MONTGOMERY AVE, 1/11/2019, P4
C, THEFT 3D FROM MOTOR VEHICLE, 3500 E JACKSON AVE, 1/12/2019, P4
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 2600 N MARKET ST, 1/11/2019, P4
C, BURGLARY 2D COMMERCIAL, 400 E SPRAGUE AVE, 1/10/2019, P6
C, BURGLARY 2D COMMERCIAL, 3800 E MAIN AVE, 1/12/2019, P6
A, BURGLARY-RESIDENTIAL, 2400 E 6TH AVE, 1/9/2019, P6
A, BURGLARY-RESIDENTIAL, 300 E PACIFIC AVE, 1/11/2019, P5
C, IBR PURPOSES ONLY - AGGRAVATED ASSAULT, 4100 E SPRAGUE AVE, 1/10/2019, P6
C, RESIDENTIAL BURGLARY, 1600 E PACIFIC AVE, 1/10/2019, P6
C, ROBBERY 2D COMMERCIAL (NOT PURSE SNATCHING), 1500 E SPRAGUE AVE, 1/10/2019, P6
C, THEFT 2D ALL OTHER, 1000 E 8TH AVE, 1/8/2019, P5
C, THEFT 3D CITY SHOPLIFTING, 400 S THOR ST, 1/12/2019, P6
C, THEFT OF MOTOR VEHICLE, 400 E 5TH AVE, 1/6/2019, P6
C, THEFT 2D ALL OTHER, 200 N DIVISION ST, 1/6/2019, P5
C, THEFT 2D ALL OTHER, 2200 E 7TH AVE, 1/9/2019, P5
C, THEFT 2D FROM BUILDING, 400 E SPRAGUE AVE, 1/10/2019, P6
C, THEFT 2D FROM MOTOR VEHICLE, 100 N DIVISION ST, 1/6/2019, P8
C, THEFT 3D ALL OTHER, 3400 E SPRAGUE AVE, 1/7/2019, P5
C, THEFT 3D ALL OTHER, 3400 E SPRAGUE AVE, 1/7/2019, P5
C, THEFT 3D ALL OTHER, 2700 E 7TH AVE, 1/7/2019, P5
C, THEFT 3D ALL OTHER, 400 S RAY ST, 1/9/2019, P5
C, THEFT 3D ALL OTHER, 1600 E PACIFIC AVE, 1/10/2019, P6
C, THEFT 3D ALL OTHER, 2300 E RIVERSIDE AVE, 1/11/2019, P5
C, THEFT 3D FROM BUILDING, 1800 E 11TH AVE, 1/11/2019, P5
C, THEFT 3D FROM MOTOR VEHICLE, 700 S GARFIELD ST, 1/9/2019, P5
C, THEFT 3D VEHICLE PARTS OR ACCESSORIES, 1400 E 2ND AVE, 1/7/2019, P5
C, ASSAULT 2D, 2700 E SHARP AVE, 1/12/2019, P6
C, BURGLARY 2D COMMERCIAL, 800 N REGAL ST, 1/10/2019, P6
C, BURGLARY-RESIDENTIAL, 1900 E SHARP AVE, 1/10/2019, P6
C, RESIDENTIAL BURGLARY, 2600 E BOONE AVE, 1/9/2019, P6
C, THEFT 3D FROM MOTOR VEHICLE, 1800 N GREENE ST, 1/8/2019, P4
C, THEFT OF MOTOR VEHICLE, 1800 N GREENE ST, 1/8/2019, P4
C, THEFT 3D ALL OTHER, 1500 N LACEY ST, 1/7/2019, P5
